paper_label,source_experiment,config_hash,n_seeds,coherence_emb_mean,coherence_emb_sd,npmi_mean,npmi_sd,diversity_mean,diversity_sd,silhouette_mean,silhouette_sd,separation_mean,separation_sd,nmi_mean,nmi_sd,ari_mean,ari_sd,purity_mean,purity_sd,coverage_mean,coverage_sd,n_topics_found_mean,n_topics_found_sd,topic_size_std_mean,topic_size_std_sd,topic_size_max_mean,topic_size_max_sd,stability_ari_mean,stability_ari_sd
LDA,exp_bigkinds_2026-01_3개월_5e438797,lda_f87e785a33ff,5,0.5585,0.0006,0.0845,0.0057,0.979,0.0022,-0.0068,0.0006,0.0461,0.0024,0.0589,0.0078,0.0268,0.0038,0.4342,0.0164,0.9994,0.0,20.0,0.0,445.9214,82.1134,4181.6,552.1574,0.0805,0.0079
NMF,exp_bigkinds_2026-01_3개월_5e438797,nmf_28b1af447262,5,0.5867,0.0002,0.2196,0.0013,0.791,0.0022,-0.0001,0.0,0.1373,0.0007,0.1667,0.0014,0.0922,0.0021,0.6035,0.0037,0.9994,0.0,20.0,0.0,1631.6752,34.3083,8078.0,226.2156,0.8898,0.063
BERTopic,exp_bigkinds_2026-01_3개월_5e438797,bertopic_5078c7ae1138,5,0.6452,0.0067,0.3469,0.0068,0.9295,0.0071,0.0091,0.004,0.2806,0.0085,0.3666,0.0273,0.3152,0.0559,0.7389,0.0469,0.5708,0.0204,19.0,0.0,2458.8653,366.9598,9063.4,2047.4637,0.6642,0.1288
BERTopic-full,exp_bigkinds_2026-01_3개월_5e438797,bertopic_37cdfcc14397,5,0.6238,0.0052,0.3469,0.0068,0.9295,0.0071,0.0034,0.0031,0.2332,0.0071,0.3053,0.0173,0.2609,0.0502,0.7009,0.0395,1.0,0.0,19.0,0.0,4107.0744,561.1338,15525.6,3384.125,0.5321,0.122
QualIT,exp_bigkinds_2026-01_3개월_5e438797,qualit_8134100ff4b2,5,0.6123,0.0049,0.2861,0.0192,0.926,0.0119,0.0108,0.0018,0.2068,0.0095,0.2194,0.0083,0.0962,0.0073,0.645,0.0136,1.0,0.0,20.0,0.0,1374.9444,109.9111,6193.0,841.6576,0.4511,0.0403
QualIT-combined,exp_bigkinds_2026-01_3개월_5e438797,qualit_a71487224cd2,5,0.6176,0.001,0.268,0.0134,0.901,0.0213,0.0144,0.0012,0.2189,0.0031,0.2519,0.0038,0.1177,0.0022,0.6798,0.0079,1.0,0.0,20.0,0.0,1531.0822,98.055,6233.4,690.4932,0.4946,0.0536
KATR (alpha=0.3),exp_bigkinds_2026-01_3개월_5e438796,katr_f645949902c2,5,0.6233,0.0077,0.2622,0.0093,0.871,0.0108,0.0144,0.0014,0.233,0.0118,0.2645,0.0078,0.1384,0.0144,0.6875,0.0053,1.0,0.0,20.0,0.0,1639.8231,212.9271,6277.2,975.2326,0.6265,0.0999
KATR (alpha=0.6),exp_bigkinds_2026-01_3개월_5e438797,katr_ea697021542b,5,0.6247,0.0081,0.2574,0.0077,0.872,0.0084,0.0159,0.0014,0.2378,0.0121,0.2754,0.0065,0.1437,0.0127,0.7008,0.0047,1.0,0.0,20.0,0.0,1576.2849,205.1614,5971.2,1017.3685,0.6635,0.0973
KATR (alpha=1),exp_bigkinds_2026-01_3개월_5e438797,katr_1f1b1a9a8138,5,0.6233,0.0079,0.2671,0.0073,0.896,0.0114,0.0173,0.0011,0.2366,0.0127,0.2843,0.0055,0.1465,0.011,0.7076,0.0061,1.0,0.0,20.0,0.0,1479.5018,188.8552,5588.8,788.2989,0.695,0.0931
KATR-core,exp_bigkinds_2026-01_3개월_5e438797,katr_c7a668322d5d,5,0.6233,0.0079,0.2758,0.0113,0.867,0.0266,0.0173,0.0011,0.2366,0.0127,0.2843,0.0055,0.1465,0.011,0.7076,0.0061,1.0,0.0,20.0,0.0,1479.5018,188.8552,5588.8,788.2989,0.695,0.0931
